83;Savage Spin-Out;White Z-Move;Attaches a MP-2 marker to opposing Pokémon within 2 steps.;432;96
84;Miss;Red;;10;20
85;Scratch;White;;556;56
86;Tail Smack;White;;588;20
87;Breakneck Blitz;White Z-Move;Pokémon knocked out by this Attack's damage are temporarily excluded from the duel, returning to the bench 7 turns later.;364;96
88;Slash;White;;503;24
89;Scratch;White;;337;16
90;Slash;White;;597;28
91;Defense Curl;White;If the battle opponent's Attack is below 50 damage, this Pokémon cannot be Knocked out.;316;24
92;Miss;Red;;10;4
93;Tectonic Rage;Purple Z-Move;Knocks out the battle opponent;443;96
94;Sucker Punch;Gold;;550;28
95;Whirlwind;Purple;The battle opponent is moved back to the bench and gains Wait;275;32
96;Astonish;White;;413;28
97;Miss;Red;;10;8
98;Supersonic Skystrike;White Z-Move;Any Pokémon adjacent to the battle opponent other than this Pokémon spin. Those that spin White Attacks move to the bench. This Pokémon gains Wait 3.;547;96
99;Black Hole Eclipse;White Z-Move;Reduces the opponetn's Z-Move gauge by two thirds of its max value;354;96
100;Miss;Red;;10;8
101;String Wrap;Purple;Attaches an MP-1 marker to the battle opponent;271;52
102;Miss;Red;;10;4
103;Tackle;White;;510;32
104;Savage Spin-Out;White Z-Move;Attaches a MP-2 marker to opposing Pokémon within 2 steps.;451;96
105;Water Gun;White;;461;48
106;Take Down;White;;398;24
107;Dodge;Blue;;10;16
108;Miss;Red;;10;8
109;Hydro Vortex;White Z-Move;The battle opponent and opposing Pokémon within 2 steps of it become confused.;308;96
110;Cut;White;;591;44
111;Rock Smash;White;;403;48
112;Miss;Red;;10;4
113;Breakneck Blitz;White Z-Move;Pokémon knocked out by this Attack's damage are temporarily excluded from the duel, returning to the bench 7 turns later.;370;96
114;Dig;Purple;You can move this Pokémon to an open spot next to an adjacent figure (or adjacent figures in succession to the first);342;20
115;Gyro Ball;White;Deals + 30 damage if the battle opponent's MP is higher than this Pokémon's MP;404;28
116;Pull In;Purple;Moves the battle opponent to the P.C. and moves this Pokémon to the bench;359;28
117;Miss;Red;;10;4
118;Iron Tail;White;;595;16
119;Tectonic Rage;Purple Z-Move;Knocks out the battle opponent;419;96
120;Corkscrew Crash;White Z-Move;If the battle opponent is knocked out, then after the battle, this Pokémon moves to a point 2 steps away;585;96
121;Tackle;White;;572;20
122;Water Gun;White;;399;28
123;Rollout;White;Spin again until Rollout does not land - damage is multiplied by the number of Rollout spins;309;28
124;Miss;Red;;10;20
125;Hydro Vortex;White Z-Move;The battle opponent and opposing Pokémon within 2 steps of it become confused.;361;96
126;Twinkle Tackle;Purple Z-Move;Moves the battle opponent to the bench;438;96
127;Hyper Fang;White;;438;28
128;Tackle;White;;495;64
129;Miss;Red;;10;4
130;Breakneck Blitz;White Z-Move;Pokémon knocked out by this Attack's damage are temporarily excluded from the duel, returning to the bench 7 turns later.;303;96
131;Miss;Red;;10;8
132;Focus Punch;White;;552;56
133;Miss;Red;;10;4
134;Dodge;Blue;;10;28
135;All-Out Pummelling;White Z-Move;Attaches a Cracked marker to opposing Pokémon in a straight line directly behind the battle opponent;464;96
136;Dodge;Blue;;10;4
137;Fire Fang;White;The battle opponent becomes burned. The battle opponent now has Wait;531;24
138;Quick Attack;Gold;;353;32
139;Ice Fang;White;If this Pokémon is knocked out, the battle opponent becomes frozen.;502;24
140;Dodge;Blue;;10;4
141;Miss;Red;;10;8
142;Gigavolt Havoc;White Z-Move;The battle opponent and a succession of Pokémon adjacent to the battle opponent (other than this Pokémon) become paralyzed;557;96
143;Bubble;White;;337;24
144;Hypnosis;Purple;The battle opponent falls asleep.;325;28
145;Bubble;White;;594;24
146;Dodge;Blue;;10;16
147;Miss;Red;;10;4
148;Hydro Vortex;White Z-Move;The battle opponent and opposing Pokémon within 2 steps of it become confused.;373;96
149;Scratch;White;;506;48
150;Feint Attack;White;;586;12
151;Fake Tears;White;Spin again until an attack other than Fake Tears is spun. Damage attacks deal +20 damage,;336;24
152;Miss;Red;;10;12
153;Breakneck Blitz;White Z-Move;Pokémon knocked out by this Attack's damage are temporarily excluded from the duel, returning to the bench 7 turns later.;444;96
154;High Jump Kick;White;;416;20
155;Tackle;White;;564;72
156;Miss;Red;;10;4
157;All-Out Pummelling;White Z-Move;Attaches a Cracked marker to opposing Pokémon in a straight line directly behind the battle opponent;569;96
158;Vine Whip;White;;541;24
159;Tackle;White;;451;24
160;Vine Whip;White;;311;24
161;Protect;Blue;This Pokémon gains Wait.;10;20
162;Miss;Red;;10;4
163;Bloom Doom;White Z-Move;Removes all special conditions from your Pokémon;581;96
164;Miss;Red;;10;8
165;Aeroblast;White;;381;24
166;Cyclone;Purple;The battle opponent is moved to the bench and gains Wait.;422;24
167;Aeroblast;White;;462;24
168;Miss;Red;;10;8
169;Dodge;Blue;;10;8
170;Supersonic Skystrike;White Z-Move;Any Pokémon adjacent to the battle opponent other than this Pokémon spin. Those that spin White Attacks move to the bench. This Pokémon gains Wait 3.;476;96
171;Shattered Psyche;White Z-Move;If this Pokémon is on the field, this Pokémon moves to a point 3 steps away after battle;474;96
172;Spark;White;;471;64
173;Miss;Red;;10;12
174;Blind;Blue;This Pokémon moves 1-2 steps back;10;20
175;Gigavolt Havoc;White Z-Move;The battle opponent and a succession of Pokémon adjacent to the battle opponent (other than this Pokémon) become paralyzed;307;96
176;Tackle;White;;493;24
177;Big Bite;White;If the battle opponent's type is Steel, this Pokémon takes no damage and the opponent is knocked out.;329;48
178;Protect;Blue;This Pokémon gains Wait.;10;20
179;Miss;Red;;10;4
180;Continental Crush;Purple Z-Move;The battle opponent and opposing Pokémon adjacent to the battle opponent gain Wait 9;423;96
181;Corkscrew Crash;White Z-Move;If the battle opponent is knocked out, then after the battle, this Pokémon moves to a point 2 steps away;425;96
182;Miss;Red;;10;16
183;Thunder Shock;White;;460;32
184;Miss;Red;;10;12
185;Volt Switch;Purple;This Pokémon switches with a Pokémon on your bench.;251;36
186;Supersonic Skystrike;White Z-Move;Any Pokémon adjacent to the battle opponent other than this Pokémon spin. Those that spin White Attacks move to the bench. This Pokémon gains Wait 3.;332;96
187;Gigavolt Havoc;White Z-Move;The battle opponent and a succession of Pokémon adjacent to the battle opponent (other than this Pokémon) become paralyzed;409;96
188;Peck;White;;584;16
189;Fury Attack;White;Spin again until Fury Attack does not land - damage is multiplied by the number of Fury Attack spins;386;48
190;Peck;White;;302;16
191;Dodge;Blue;;10;12
192;Miss;Red;;10;4
193;Breakneck Blitz;White Z-Move;Pokémon knocked out by this Attack's damage are temporarily excluded from the duel, returning to the bench 7 turns later.;555;96
194;Supersonic Skystrike;White Z-Move;Any Pokémon adjacent to the battle opponent other than this Pokémon spin. Those that spin White Attacks move to the bench. This Pokémon gains Wait 3.;481;96
195;Quick Attack;Gold;;419;16
196;Slam;White;;343;56
197;Dodge;Blue;;10;20
198;Miss;Red;;10;4
199;Bloom Doom;White Z-Move;Removes all special conditions from your Pokémon;489;96
200;Miss;Red;;10;8
201;Horn Attack;White;;391;32
202;Dodge;Blue;;10;20
203;Miss;Red;;10;8
204;Overhead Toss;Purple;The opponent is moved 1 step behind this Pokémon;268;28
205;All-Out Pummelling;White Z-Move;Attaches a Cracked marker to opposing Pokémon in a straight line directly behind the battle opponent;558;96
206;Savage Spin-Out;White Z-Move;Attaches a MP-2 marker to opposing Pokémon within 2 steps.;545;96
207;Miss;Red;;10;12
208;Sweet Scent;Purple;One Pokémon within 3 steps' range is drawn 1-2 steps closer to this Pokémon and gains Wait;10;44
209;Gust;White;;600;40
210;Supersonic Skystrike;White Z-Move;Any Pokémon adjacent to the battle opponent other than this Pokémon spin. Those that spin White Attacks move to the bench. This Pokémon gains Wait 3.;591;96
211;Savage Spin-Out;White Z-Move;Attaches a MP-2 marker to opposing Pokémon within 2 steps.;399;96
212;Miss;Red;;10;12
213;Bubble;White;;368;44
214;Withdraw;Blue;This Pokémon gains Wait.;10;40
215;Hydro Vortex;White Z-Move;The battle opponent and opposing Pokémon within 2 steps of it become confused.;558;96
216;Fake Out;Purple;This Pokémon switches places with its battle opponent.;376;32
217;Scratch;White;;491;36
218;Dodge;Blue;;10;20
219;Miss;Red;;10;8
220;Breakneck Blitz;White Z-Move;Pokémon knocked out by this Attack's damage are temporarily excluded from the duel, returning to the bench 7 turns later.;571;96
221;Leech Life;White;;329;32
222;Air Cutter;White;;566;12
223;Supersonic;Purple;The battle opponent becomes confused;324;32
224;Miss;Red;;10;20
225;Supersonic Skystrike;White Z-Move;Any Pokémon adjacent to the battle opponent other than this Pokémon spin. Those that spin White Attacks move to the bench. This Pokémon gains Wait 3.;424;96
226;Acid Downpour;White Z-Move;All opposing Pokémon on the field spin. Those that spin White Attacks become Poisoned.;406;96
227;Gust;White;;488;28
228;Fire Blast;White;;301;32
229;Rainbow Wing;Purple;This Pokémon moves 2 steps away;385;24
230;Miss;Red;;10;12
231;Supersonic Skystrike;White Z-Move;Any Pokémon adjacent to the battle opponent other than this Pokémon spin. Those that spin White Attacks move to the bench. This Pokémon gains Wait 3.;479;96
232;Inferno Overdrive;White Z-Move;The battle opponent and the Pokémon in a straight line directly behind it become burned.;580;96
233;Miss;Red;;10;4
234;Swords Dance;White;Spin again until an attack other than Swords Dance is spun. Damage Attacks deal x2 damage;502;16
235;Air Cutter;White;;316;24
236;Steel Wing;White;;501;20
237;Fly Away;Purple;This Pokémon jumps over the battle opponent and lands on a surrounding point.;358;32
238;Supersonic Skystrike;White Z-Move;Any Pokémon adjacent to the battle opponent other than this Pokémon spin. Those that spin White Attacks move to the bench. This Pokémon gains Wait 3.;328;96
239;Corkscrew Crash;White Z-Move;If the battle opponent is knocked out, then after the battle, this Pokémon moves to a point 2 steps away;387;96
240;Miss;Red;;10;8
241;Healing Wish;Purple;This Pokémon switches with another of your Pokémon from the P.C.;345;32
242;Miss;Red;;10;8
243;Pound;White;;547;48
244;Breakneck Blitz;White Z-Move;Pokémon knocked out by this Attack's damage are temporarily excluded from the duel, returning to the bench 7 turns later.;407;96
245;Miss;Red;;10;4
246;Karate Chop;White;;342;24
247;Submission;White;;465;28
248;Karate Chop;White;;314;24
249;Miss;Red;;10;4
250;Dodge;Blue;;10;12
251;All-Out Pummelling;White Z-Move;Attaches a Cracked marker to opposing Pokémon in a straight line directly behind the battle opponent;301;96
252;Break Energy;White;Your opponent's Energy Plate-based effects are lost;520;20
253;Dodge;Blue;;10;8
254;Tidal Wave;Purple;All neighbour Pokémon are knocked 3 steps back and gain Wait.;285;32
255;Dodge;Blue;;10;8
256;Hydro Pump;White;;416;20
257;Miss;Red;;10;8
258;Hydro Vortex;White Z-Move;The battle opponent and opposing Pokémon within 2 steps of it become confused.;314;96
259;Water Pulse;White;;468;24
260;Super Psy;White;If this Pokémon is knocked out, the battle opponent becomes confused.;561;32
261;Disable;Purple;The battle opponent now has Wait.;335;28
262;Miss;Red;;10;12
263;Hydro Vortex;White Z-Move;The battle opponent and opposing Pokémon within 2 steps of it become confused.;595;96
264;Feint Attack;White;;371;16
265;Miss;Red;;10;12
266;Teeter Dance;Purple;All neighbour Pokémon become confused;289;32
267;Tackle;White;;551;36
268;Breakneck Blitz;White Z-Move;Pokémon knocked out by this Attack's damage are temporarily excluded from the duel, returning to the bench 7 turns later.;417;96
269;Stun Spore;Purple;The battle opponent becomes paralyzed.;284;24
270;Tackle;White;;383;32
271;Poison Powder;Purple;The battle opponent becomes poisoned;269;28
272;Miss;Red;;10;12
273;Bloom Doom;White Z-Move;Removes all special conditions from your Pokémon;479;96
274;Miss;Red;;10;8
275;Fire Spin;White;Spin again until Fire Spin does not land - damage is multiplied by the number of Fire Spin spins;412;56
276;Miss;Red;;10;4
277;Dragon Tail;White;Benches your battle opponent (except when opponent has fainted). Your battle opponent must then Wait.;315;28
278;Supersonic Skystrike;White Z-Move;Any Pokémon adjacent to the battle opponent other than this Pokémon spin. Those that spin White Attacks move to the bench. This Pokémon gains Wait 3.;498;96
279;Inferno Overdrive;White Z-Move;The battle opponent and the Pokémon in a straight line directly behind it become burned.;458;96
280;Counter;White;If the battle opponent's Attack is 20 or more, the opponent is knocked out instead of this Pokémon;334;60
281;Miss;Red;;10;28
282;Protect;Blue;This Pokémon gains Wait.;10;8
283;Shattered Psyche;White Z-Move;If this Pokémon is on the field, this Pokémon moves to a point 3 steps away after battle;534;96
284;Thunder Shock;White;;354;24
285;Miss;Red;;10;12
286;Thunderbolt;White;;473;24
287;Miss;Red;;10;8
288;Thunder Shock;White;;496;24
289;Dodge;Blue;;10;4
290;Gigavolt Havoc;White Z-Move;The battle opponent and a succession of Pokémon adjacent to the battle opponent (other than this Pokémon) become paralyzed;427;96
291;Dragon Claw;White;;538;28
292;Spacial Rend;White;If the battle is a tie, the battle opponent is excluded from the duel;406;32
293;Dragon Claw;White;;544;28
294;Miss;Red;;10;8
295;Hydro Vortex;White Z-Move;The battle opponent and opposing Pokémon within 2 steps of it become confused.;370;96
296;Devastating Drake;Purple Z-Move;A Pokémon on the field spins. If it spins a Miss or a White Attack of 120 damage or more, it is knocked out;423;96
297;Poison Sting;Purple;The battle opponent becomes poisoned;275;28
298;Pin Missile;White;Spin again until Pin Missile does not land - damage is multiplied by the number of Pin Missile spins;410;64
299;Miss;Red;;10;4
300;Bloom Doom;White Z-Move;Removes all special conditions from your Pokémon;568;96
301;Miss;Red;;10;8
302;Dodge;Blue;;10;28
303;Miss;Red;;10;4
304;Bubble;White;;408;56
305;Hydro Vortex;White Z-Move;The battle opponent and opposing Pokémon within 2 steps of it become confused.;370;96
306;Dragon Rage;White;;342;20
307;Push Aside;Purple;The battle opponent is moved to the bench and gains Wait.;337;24
308;Miss;Red;;10;8
309;Freeze Tail;White;If this Pokémon is knocked out, the battle opponent becomes frozen.;592;44
310;Devastating Drake;Purple Z-Move;A Pokémon on the field spins. If it spins a Miss or a White Attack of 120 damage or more, it is knocked out;410;96
311;Dodge;Blue;;10;8
312;Tackle;White;;451;24
313;Focus Energy;White;Spin again until an attack other than Focus Energy is spun. Damage attacks deal x2 damage,;338;28
314;Quick Attack;Gold;;330;16
315;Dodge;Blue;;10;12
316;Miss;Red;;10;8
317;Breakneck Blitz;White Z-Move;Pokémon knocked out by this Attack's damage are temporarily excluded from the duel, returning to the bench 7 turns later.;372;96
318;Miss;Red;;10;4
319;Nuzzle;White;If this Pokémon is knocked out, the battle opponent becomes paralyzed.;556;32
320;Spark;White;;502;48
321;Dodge;Blue;;10;12
322;Gigavolt Havoc;White Z-Move;The battle opponent and a succession of Pokémon adjacent to the battle opponent (other than this Pokémon) become paralyzed;475;96
323;Miss;Red;;10;8
324;Guillotine;Purple;The battle opponent is knocked out;276;20
325;Miss;Red;;10;8
326;Scissor Toss;Purple;The battle opponent is knocked  back 1 step and gains Wait.;287;28
327;Vice Grip;White;;414;32
328;Savage Spin-Out;White Z-Move;Attaches a MP-2 marker to opposing Pokémon within 2 steps.;381;96
329;Miss;Red;;10;8
330;Hydro Pump;White;;550;24
331;Bite;White;;333;36
332;Miss;Red;;10;4
333;Wash Away;Purple;The battle opponent is knocked  back 2 steps and gains Wait.;304;28
334;Hydro Vortex;White Z-Move;The battle opponent and opposing Pokémon within 2 steps of it become confused.;498;96
335;Bite;White;;600;32
336;Headbutt;White;;558;20
337;Bite;White;;540;32
338;Miss;Red;;10;12
339;Devastating Drake;Purple Z-Move;A Pokémon on the field spins. If it spins a Miss or a White Attack of 120 damage or more, it is knocked out;433;96
340;Miss;Red;;10;4
341;Protect;Blue;This Pokémon gains Wait.;10;16
342;Mud Shot;White;Attach MP -1 to battle opponent;453;40
343;Protect;Blue;This Pokémon gains Wait.;10;16
344;Aqua Jet;Gold;;326;20
345;Continental Crush;Purple Z-Move;The battle opponent and opposing Pokémon adjacent to the battle opponent gain Wait 9;426;96
346;Hydro Vortex;White Z-Move;The battle opponent and opposing Pokémon within 2 steps of it become confused.;513;96
347;Self-Destruct;Purple;This Pokémon and the battle opponent are knocked out;393;24
348;Rollout;White;Spin again until Rollout does not land - damage is multiplied by the number of Rollout spins;481;40
349;Rock Throw;White;;442;24
350;Miss;Red;;10;8
351;Tectonic Rage;Purple Z-Move;Knocks out the battle opponent;439;96
352;Continental Crush;Purple Z-Move;The battle opponent and opposing Pokémon adjacent to the battle opponent gain Wait 9;404;96
353;Poison Powder;Purple;The battle opponent becomes poisoned;284;24
354;Seed Bomb;White;;366;20
355;Sleep Powder;Purple;The battle opponent falls asleep.;298;24
356;Miss;Red;;10;28
357;Acid Downpour;White Z-Move;All opposing Pokémon on the field spin. Those that spin White Attacks become Poisoned.;480;96
358;Bloom Doom;White Z-Move;Removes all special conditions from your Pokémon;337;96
359;Miss;Red;;10;8
360;Thunder Wave;Purple;The battle opponent becomes paralyzed.;343;40
361;Dodge;Blue;;10;8
362;Spark;White;;310;40
363;Corkscrew Crash;White Z-Move;If the battle opponent is knocked out, then after the battle, this Pokémon moves to a point 2 steps away;393;96
364;Gigavolt Havoc;White Z-Move;The battle opponent and a succession of Pokémon adjacent to the battle opponent (other than this Pokémon) become paralyzed;303;96
365;Miss;Red;;10;16
366;Ember;White;;325;56
367;Miss;Red;;10;12
368;Dodge;Blue;;10;12
369;Inferno Overdrive;White Z-Move;The battle opponent and the Pokémon in a straight line directly behind it become burned.;453;96
370;Miss;Red;;10;8
371;Dark Void;Purple;The battle opponent and all opposing Pokémon adjacent to it spin, and if they spin a White Attack, they fall asleep;277;24
372;Dark Pulse;White;;361;32
373;Miss;Red;;10;8
374;Dark Leap;Purple;You can move this Pokémon 2 steps. If you do, this Pokémon gains Wait;319;24
375;Black Hole Eclipse;White Z-Move;Reduces the opponetn's Z-Move gauge by two thirds of its max value;585;96
376;Miss;Red;;10;4
377;Razor Wind;White;;556;20
378;Night Slash;White;If this Pokémon is not knocked out, you may switch this Pokémon with 1 of your Benched Pokémon;444;32
379;Perish Song;Purple;This Pokémon and all adjacent Pokémon gain a Curse marker. (A Pokémon that is knocked out in this condition is excluded from the duel);311;28
380;Dodge;Blue;;10;12
381;Black Hole Eclipse;White Z-Move;Reduces the opponetn's Z-Move gauge by two thirds of its max value;569;96
382;Miss;Red;;10;4
383;Hypnosis;Purple;The battle opponent falls asleep.;317;40
384;Confusion;White;;566;52
385;Shattered Psyche;White Z-Move;If this Pokémon is on the field, this Pokémon moves to a point 3 steps away after battle;376;96
386;Fly Away;Purple;This Pokémon jumps over the battle opponent and lands on a surrounding point.;353;24
387;Dragon Breath;White;;380;64
388;Miss;Red;;10;8
389;Supersonic Skystrike;White Z-Move;Any Pokémon adjacent to the battle opponent other than this Pokémon spin. Those that spin White Attacks move to the bench. This Pokémon gains Wait 3.;531;96
390;Devastating Drake;Purple Z-Move;A Pokémon on the field spins. If it spins a Miss or a White Attack of 120 damage or more, it is knocked out;435;96
391;Thunder Wave;Purple;The battle opponent becomes paralyzed.;306;32
392;Thunder Shock;White;;343;48
393;Miss;Red;;10;16
394;Gigavolt Havoc;White Z-Move;The battle opponent and a succession of Pokémon adjacent to the battle opponent (other than this Pokémon) become paralyzed;587;96
395;Barrage;White;;406;12
396;Miss;Red;;10;20
397;Barrage;White;;332;16
398;Barrage;White;;385;16
399;Barrage;White;;553;16
400;Barrage;White;;476;16
401;Bloom Doom;White Z-Move;Removes all special conditions from your Pokémon;434;96
402;Shattered Psyche;White Z-Move;If this Pokémon is on the field, this Pokémon moves to a point 3 steps away after battle;511;96
403;False Swipe;White;;347;24
404;Slash;White;;566;32
405;Swords Dance;White;Spin again until an attack other than Swords Dance is spun. Damage Attacks deal x2 damage;455;36
406;Miss;Red;;10;4
407;Supersonic Skystrike;White Z-Move;Any Pokémon adjacent to the battle opponent other than this Pokémon spin. Those that spin White Attacks move to the bench. This Pokémon gains Wait 3.;590;96
408;Savage Spin-Out;White Z-Move;Attaches a MP-2 marker to opposing Pokémon within 2 steps.;558;96
409;Flail;White;;484;12
410;Spit Poison;Purple;The battle opponent becomes poisoned;324;32
411;Flail;White;;486;12
412;Slippery Swap;Purple;This Pokémon switches place with its battle opponent;311;36
413;Miss;Red;;10;4
414;Devastating Drake;Purple Z-Move;A Pokémon on the field spins. If it spins a Miss or a White Attack of 120 damage or more, it is knocked out;426;96
415;Pound;White;;486;20
416;Miss;Red;;10;8
417;Sweet Kiss;Purple;The battle opponent becomes confused;295;32
418;Lick;White;If this Pokémon is knocked out, the battle opponent becomes paralyzed.;497;36
419;Shattered Psyche;White Z-Move;If this Pokémon is on the field, this Pokémon moves to a point 3 steps away after battle;434;96
420;Subzero Slammer;White Z-Move;An opposing Pokémonwithin 2 steps becomes frozen;449;96
421;Miss;Red;;10;20
422;Peck;White;;469;16
423;Miss;Red;;10;16
424;Fly Away;Purple;This Pokémon jumps over the battle opponent and lands on a surrounding point.;361;44
425;Breakneck Blitz;White Z-Move;Pokémon knocked out by this Attack's damage are temporarily excluded from the duel, returning to the bench 7 turns later.;553;96
426;Supersonic Skystrike;White Z-Move;Any Pokémon adjacent to the battle opponent other than this Pokémon spin. Those that spin White Attacks move to the bench. This Pokémon gains Wait 3.;461;96
427;Slash;White;;499;28
428;Dragon Claw;White;;394;28
429;Sand-Attack;Purple;The battle opponent now has Wait.;286;28
430;Miss;Red;;10;12
431;Tectonic Rage;Purple Z-Move;Knocks out the battle opponent;435;96
432;Devastating Drake;Purple Z-Move;A Pokémon on the field spins. If it spins a Miss or a White Attack of 120 damage or more, it is knocked out;440;96
433;Nuzzle;White;If this Pokémon is knocked out, the battle opponent becomes paralyzed.;465;24
434;Tackle;White;;321;24
435;Nuzzle;White;If this Pokémon is knocked out, the battle opponent becomes paralyzed.;500;24
436;Dodge;Blue;;10;20
437;Miss;Red;;10;4
438;Gigavolt Havoc;White Z-Move;The battle opponent and a succession of Pokémon adjacent to the battle opponent (other than this Pokémon) become paralyzed;548;96
439;Twinkle Tackle;Purple Z-Move;Moves the battle opponent to the bench;412;96
440;Miss;Red;;10;20
441;Tackle;White;;418;32
442;Miss;Red;;10;16
443;Press;White;If the opponent's Pokémon is knocked out, so is this Pokémon.;497;28
444;All-Out Pummelling;White Z-Move;Attaches a Cracked marker to opposing Pokémon in a straight line directly behind the battle opponent;510;96
445;Supersonic Skystrike;White Z-Move;Any Pokémon adjacent to the battle opponent other than this Pokémon spin. Those that spin White Attacks move to the bench. This Pokémon gains Wait 3.;525;96
446;Miss;Red;;10;8
447;Smash;White;;356;48
448;Break Energy;White;Your opponent's Energy Plate-based effects are lost;318;20
449;Miss;Red;;10;4
450;Dodge;Blue;;10;16
451;Tectonic Rage;Purple Z-Move;Knocks out the battle opponent;425;96
452;Poison Kick;White;If this Pokémon is knocked out, the battle opponent becomes poisoned;455;28
453;Horn Attack;White;;600;16
454;Poison Sting;Purple;The battle opponent becomes poisoned;254;24
455;Miss;Red;;10;28
456;Acid Downpour;White Z-Move;All opposing Pokémon on the field spin. Those that spin White Attacks become Poisoned.;404;96
457;Acrobatics;White;If the battle opponent is knocked out, this Pokémon moves one step and gains Wait.;488;28
458;Peck;White;;480;48
459;Miss;Red;;10;20
